AS4,AS9,Null,AS5,ASEAsignacion,Null,AS2,ASDesigualdad,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,ASEGenerica,Null
AS4,AS9,Null,AS5,ASEAsignacion,Null,AS2,ASDesigualdad,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,ASEGenerica,Null
AS4,AS9,Null,AS5,ASEAsignacion,Null,AS2,ASDesigualdad,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,ASEGenerica,Null
AS4,AS9,Null,AS5,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,ASEGenerica,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS4,AS9,Null,AS5,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS5,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS4,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS4,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS4,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,AS10,Null,AS2,AS10,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,AS5,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS8,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS5,AS5,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS4,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS4,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
ASECaracterNoPermitido,Null,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
ASECaracterNoPermitido,AS9,Null,AS5,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
AS1,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
ASECaracterNoPermitido,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS3,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
Null,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,ASEGenerica,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
Null,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
Null,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,Null,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
ASEGenerica,AS9,Null,AS6,ASEAsignacion,Null,AS2,ASDesigualdad,AS12,AS11,AS5,ASEGenerica,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
Null,AS9,ASEGenerica,AS6,ASEAsignacion,ASEGenerica,AS2,ASDesigualdad,AS12,AS11,ASEGenerica,ASEGenerica,AS7,ASEGenerica,AS7,ASEGenerica,ASEGenerica,Null
